iter	RMSE
0	55693.58373
1	54793.5874
2	53983.06945
3	53216.49995
4	52366.44062
5	51682.3459
6	50930.31219
7	50206.63421
8	49549.32823
9	48957.1406
10	48372.20818
11	47821.01227
12	47255.55568
13	46771.35215
14	46344.83145
15	45908.57951
16	45479.71188
17	45139.65757
18	44778.96279
19	44405.07285
20	44049.9255
21	43712.20276
22	43428.5335
23	43135.15523
24	42856.40121
25	42623.4752
26	42380.45983
27	42050.97977
28	41794.39263
29	41558.15025
30	41358.55995
31	41148.88648
32	40974.34781
33	40771.67339
34	40548.10706
35	40340.52939
36	40167.46296
37	40011.34576
38	39837.23916
39	39671.79849
40	39509.14559
41	39380.23567
42	39238.87314
43	39087.21812
44	38951.92538
45	38823.72469
46	38695.31535
47	38561.68493
48	38481.73634
49	38347.02141
50	38205.23058
51	38123.78661
52	38019.05705
53	37907.09086
54	37798.02719
55	37691.99098
56	37594.64974
57	37471.38
58	37400.51256
59	37275.20577
60	37180.70342
61	37104.85382
62	37012.39939
63	36949.77991
64	36855.20662
65	36739.19585
66	36650.2487
67	36597.05741
68	36522.60626
69	36432.7381
70	36338.30361
71	36244.47
72	36146.23586
73	36110.16471
74	36014.53836
75	35920.92033
76	35874.02535
77	35758.54198
78	35701.13345
79	35659.97353
80	35611.02536
81	35532.19415
82	35484.25076
83	35366.29148
84	35296.9754
85	35210.24344
86	35180.29504
87	35141.57684
88	35104.22881
89	35048.60045
90	34994.68004
91	34940.891
92	34865.8935
93	34799.60111
94	34759.29747
95	34732.72035
96	34670.75738
97	34643.74592
98	34579.30074
99	34546.61173
100	34511.57307
101	34461.18271
102	34415.05059
103	34378.0549
104	34330.615
105	34292.53933
106	34268.55321
107	34214.26237
108	34188.57388
109	34146.76403
110	34101.55063
111	34074.21129
112	34041.42401
113	33954.54349
114	33852.78656
115	33788.59034
116	33723.5188
117	33690.55294
118	33664.95105
119	33639.85759
120	33596.90207
121	33555.15621
122	33517.49509
123	33475.45464
124	33410.96072
125	33353.87039
126	33267.24064
127	33244.46642
128	33222.99494
129	33176.59838
130	33135.36133
131	33111.03383
132	33079.38839
133	33040.74399
134	33014.86828
135	32951.26888
136	32919.49766
137	32900.69697
138	32871.9915
139	32849.11314
140	32773.23221
141	32763.74412
142	32708.51085
143	32674.02807
144	32611.89141
145	32545.01074
146	32499.28184
147	32470.7333
148	32404.40809
149	32368.71259
150	32337.42554
151	32314.38426
152	32294.20045
153	32252.88823
154	32204.7323
155	32136.18513
156	32102.82918
157	32046.76956
158	32024.63595
159	31980.41752
160	31905.22043
161	31887.91983
162	31808.17308
163	31759.87522
164	31676.23016
165	31653.23279
166	31619.78627
167	31596.67189
168	31562.9111
169	31524.20625
170	31466.68546
171	31419.77535
172	31403.54557
173	31375.57648
174	31334.51194
175	31325.26806
176	31311.50241
177	31276.05521
178	31216.73933
179	31164.73428
180	31113.72938
181	31106.6949
182	31088.84668
183	31038.3699
184	31018.44836
185	30991.77588
186	30951.24502
187	30940.57626
188	30890.76417
189	30864.43811
190	30838.01706
191	30798.02942
192	30737.72409
193	30679.86855
194	30670.44855
195	30656.43352
196	30650.8848
197	30616.36097
198	30588.20363
199	30566.96149
200	30535.80098
201	30510.15319
202	30467.02889
203	30437.88055
204	30386.73441
205	30353.33795
206	30334.8141
207	30280.14209
208	30260.6634
209	30221.17756
210	30172.41343
211	30168.65007
212	30136.48585
213	30112.94965
214	30076.1114
215	30049.30575
216	30001.97443
217	29967.72523
218	29932.0682
219	29864.74767
220	29829.21305
221	29793.26201
222	29778.17991
223	29775.72814
224	29759.91985
225	29713.01812
226	29664.01093
227	29643.30999
228	29617.11122
229	29573.88049
230	29539.91898
231	29534.89847
232	29529.2585
233	29506.06492
234	29476.4358
235	29456.13827
236	29429.20344
237	29408.93705
238	29387.57367
239	29383.57086
240	29357.84244
241	29354.04346
242	29318.05325
243	29285.75824
244	29265.34435
245	29262.23479
246	29234.05213
247	29208.75688
248	29170.76365
249	29145.86506
250	29122.55596
251	29088.89601
252	29038.50639
253	29008.27124
254	28974.09543
255	28970.32266
256	28931.34776
257	28906.55673
258	28897.31525
259	28878.62588
260	28854.98649
261	28820.26205
262	28784.90608
263	28782.50756
264	28759.7717
265	28721.03352
266	28716.23182
267	28680.27227
268	28657.49779
269	28614.96494
270	28572.09495
271	28537.27081
272	28530.1334
273	28481.51829
274	28478.40093
275	28455.30925
276	28430.70034
277	28400.35341
278	28373.00931
279	28359.46391
280	28329.90641
281	28316.22489
282	28314.43587
283	28293.11672
284	28267.38931
285	28233.99121
286	28216.05533
287	28213.1264
288	28194.23388
289	28163.52962
290	28141.35993
291	28117.21585
292	28114.44918
293	28061.86485
294	28039.35791
295	28020.1679
296	27984.74472
297	27968.38904
298	27932.30524
299	27920.64587
300	27902.58929
301	27880.93152
302	27840.24015
303	27811.45669
304	27758.8879
305	27757.35251
306	27710.13103
307	27707.67023
308	27688.94615
309	27652.38191
310	27633.26376
311	27621.93819
312	27596.38626
313	27552.79732
314	27550.30094
315	27548.88734
316	27543.50161
317	27513.97424
318	27486.80773
319	27479.09759
320	27461.36432
321	27437.22924
322	27417.62037
323	27392.84825
324	27387.53851
325	27385.80129
326	27366.89069
327	27350.18425
328	27344.04153
329	27342.12307
330	27318.48061
331	27291.76486
332	27290.79993
333	27270.34845
334	27256.72772
335	27244.39037
336	27225.34043
337	27210.76265
338	27169.50208
339	27148.61155
340	27120.02197
341	27086.49114
342	27067.42443
343	27049.96286
344	27032.59148
345	27026.4909
346	27004.88236
347	26990.42626
348	26970.88927
349	26947.56665
350	26928.62365
351	26914.47234
352	26883.03142
353	26868.00077
354	26844.17919
355	26824.273
356	26805.63376
357	26772.63725
358	26748.57639
359	26723.22129
360	26721.70762
361	26700.18401
362	26656.94612
363	26635.549
364	26614.03407
365	26584.28324
366	26564.12985
367	26557.07525
368	26539.98987
369	26510.65338
370	26509.30986
371	26502.35128
372	26475.10027
373	26448.14869
374	26410.47753
375	26409.6243
376	26392.44939
377	26375.59407
378	26370.9065
379	26352.89001
380	26351.47595
381	26327.38905
382	26304.93742
383	26260.87473
384	26236.7352
385	26219.19073
386	26182.17654
387	26167.0976
388	26128.48107
389	26109.75275
390	26086.72553
391	26085.35949
392	26059.94071
393	26049.72274
394	26048.63646
395	26047.31456
396	26031.37286
397	26029.652
398	26009.22984
399	25988.38395
400	25970.98906
401	25956.46947
402	25943.58841
403	25922.5561
404	25901.45985
405	25870.97879
406	25843.76294
407	25832.21065
408	25830.98221
409	25802.44206
410	25785.06951
411	25766.96928
412	25746.91924
413	25731.01575
414	25713.74496
415	25685.20719
416	25654.66835
417	25653.52304
418	25612.6851
419	25609.33958
420	25595.4081
421	25587.08548
422	25560.36799
423	25547.39517
424	25525.503
425	25497.73183
426	25496.66021
427	25479.17598
428	25467.92142
429	25443.38396
430	25425.43512
431	25388.52158
432	25387.46628
433	25359.63398
434	25336.75438
435	25318.74723
436	25306.19461
437	25289.40366
438	25267.83238
439	25237.19494
440	25235.1921
441	25210.9835
442	25182.11299
443	25152.66141
444	25137.10884
445	25117.86064
446	25098.27286
447	25082.64548
448	25074.90497
449	25051.68212
450	25037.79256
451	25007.41469
452	24989.86768
453	24970.40519
454	24945.11653
455	24928.73489
456	24906.6799
457	24905.67721
458	24888.27198
459	24886.05959
460	24866.30707
461	24846.74016
462	24845.52257
463	24833.70529
464	24821.06218
465	24801.24573
466	24780.03393
467	24765.36246
468	24743.18197
469	24732.31044
470	24702.59616
471	24686.50223
472	24674.47904
473	24653.86398
474	24631.54924
475	24615.737
476	24599.36225
477	24575.13822
478	24556.69045
479	24543.13383
480	24525.76713
481	24498.70954
482	24487.92617
483	24475.21171
484	24440.10823
485	24419.87267
486	24398.04831
487	24376.44802
488	24358.42042
489	24343.69763
490	24324.04087
491	24323.21782
492	24322.47486
493	24313.47999
494	24294.93173
495	24288.57368
496	24287.69651
497	24274.32065
498	24254.91348
499	24238.76965
500	24217.57417
501	24199.82055
502	24174.88135
503	24149.10248
504	24139.63099
505	24139.02147
506	24119.68743
507	24106.759
508	24076.82735
509	24062.471
510	24057.80019
511	24037.21063
512	24016.03755
513	23987.39703
514	23971.5413
515	23957.84653
516	23937.2425
517	23921.93873
518	23897.69915
519	23896.87427
520	23891.17519
521	23870.04061
522	23851.91949
523	23843.77184
524	23832.70482
525	23808.27502
526	23798.78642
527	23789.57417
528	23775.46054
529	23744.95082
530	23730.93815
531	23708.9394
532	23700.32744
533	23671.41416
534	23647.75056
535	23631.05161
536	23617.59976
537	23601.67543
538	23589.13837
539	23558.40542
540	23545.9524
