iter	Passed	Remaining
0	144	143963
1	150	74861
2	157	52196
3	168	42013
4	177	35360
5	187	31016
6	194	27566
7	202	25070
8	209	23013
9	214	21251
10	222	19970
11	230	18968
12	237	18038
13	243	17181
14	252	16567
15	262	16118
16	269	15607
17	281	15383
18	293	15148
19	300	14723
20	308	14394
21	322	14326
22	329	14005
23	342	13913
24	355	13870
25	366	13730
26	374	13493
27	382	13281
28	389	13036
29	399	12926
30	409	12814
31	416	12608
32	426	12506
33	436	12394
34	444	12245
35	450	12070
36	457	11900
37	463	11726
38	470	11594
39	476	11434
40	482	11297
41	489	11167
42	495	11025
43	501	10903
44	509	10822
45	516	10702
46	524	10629
47	531	10543
48	536	10418
49	542	10310
50	547	10187
51	553	10089
52	559	9990
53	564	9885
54	569	9789
55	575	9708
56	583	9653
57	591	9603
58	597	9525
59	603	9449
60	609	9383
61	620	9384
62	626	9319
63	634	9272
64	638	9190
65	646	9151
66	653	9096
67	658	9030
68	672	9068
69	680	9044
70	686	8976
71	696	8978
72	702	8923
73	708	8865
74	715	8822
75	720	8761
76	727	8722
77	733	8668
78	739	8616
79	746	8579
80	750	8514
81	755	8459
82	760	8407
83	766	8353
84	771	8302
85	776	8254
86	782	8212
87	790	8192
88	797	8161
89	805	8148
90	811	8106
91	816	8058
92	823	8029
93	830	8003
94	841	8014
95	847	7976
96	852	7940
97	859	7907
98	865	7873
99	873	7862
100	879	7828
101	887	7811
102	892	7776
103	898	7743
104	905	7718
105	911	7685
106	918	7667
107	924	7631
108	929	7596
109	936	7574
110	941	7537
111	947	7511
112	953	7484
113	957	7445
114	966	7438
115	973	7419
116	980	7397
117	985	7365
118	990	7332
119	997	7312
120	1002	7281
121	1010	7273
122	1015	7241
123	1020	7210
124	1026	7188
125	1031	7157
126	1038	7136
127	1045	7119
128	1051	7099
129	1064	7124
130	1074	7126
131	1081	7113
132	1086	7085
133	1093	7067
134	1099	7045
135	1105	7026
136	1112	7007
137	1118	6986
138	1126	6978
139	1132	6955
140	1138	6938
141	1147	6932
142	1155	6922
143	1160	6901
144	1166	6880
145	1175	6873
146	1180	6848
147	1186	6831
148	1192	6811
149	1198	6793
150	1206	6784
151	1212	6764
152	1220	6758
153	1226	6737
154	1235	6736
155	1241	6715
156	1249	6708
157	1257	6700
158	1265	6691
159	1273	6685
160	1285	6697
161	1301	6734
162	1308	6717
163	1317	6716
164	1324	6701
165	1333	6700
166	1339	6682
167	1347	6674
168	1354	6659
169	1363	6654
170	1369	6641
171	1378	6637
172	1384	6618
173	1400	6647
174	1407	6633
175	1414	6623
176	1420	6603
177	1430	6606
178	1439	6602
179	1448	6596
180	1464	6628
181	1475	6632
182	1482	6618
183	1494	6629
184	1503	6625
185	1509	6608
186	1519	6605
187	1525	6590
188	1537	6596
189	1543	6581
190	1552	6574
191	1570	6608
192	1576	6591
193	1586	6592
194	1593	6578
195	1604	6581
196	1610	6563
197	1618	6554
198	1624	6540
199	1636	6544
200	1644	6535
201	1652	6529
202	1659	6515
203	1668	6510
204	1676	6501
205	1684	6492
206	1692	6483
207	1708	6505
208	1716	6496
209	1728	6503
210	1746	6530
211	1755	6523
212	1764	6519
213	1770	6502
214	1778	6494
215	1785	6480
216	1794	6474
217	1799	6455
218	1810	6454
219	1815	6437
220	1823	6427
221	1828	6408
222	1836	6400
223	1842	6382
224	1853	6384
225	1861	6374
226	1868	6362
227	1874	6346
228	1891	6368
229	1902	6367
230	1908	6352
231	1916	6345
232	1922	6328
233	1929	6316
234	1937	6306
235	1944	6293
236	1952	6285
237	1957	6267
238	1963	6252
239	1968	6233
240	1974	6216
241	1978	6198
242	1984	6182
243	2043	6330
244	2078	6403
245	2093	6417
246	2115	6450
247	2161	6553
248	2168	6540
249	2176	6529
250	2182	6513
251	2187	6493
252	2194	6479
253	2202	6467
254	2218	6481
255	2230	6482
256	2242	6483
257	2249	6469
258	2255	6452
259	2263	6441
260	2268	6423
261	2276	6411
262	2282	6395
263	2289	6382
264	2295	6365
265	2300	6347
266	2307	6333
267	2312	6315
268	2317	6296
269	2322	6280
270	2328	6263
271	2338	6259
272	2344	6244
273	2351	6230
274	2355	6209
275	2361	6194
276	2370	6186
277	2377	6174
278	2383	6160
279	2388	6141
280	2393	6124
281	2398	6106
282	2403	6089
283	2408	6072
284	2414	6057
285	2419	6040
286	2424	6023
287	2427	6001
288	2433	5986
289	2439	5973
290	2444	5956
291	2449	5940
292	2453	5919
293	2458	5904
294	2464	5888
295	2469	5872
296	2473	5854
297	2478	5839
298	2484	5825
299	2490	5810
300	2495	5796
301	2502	5783
302	2507	5768
303	2514	5756
304	2519	5740
305	2525	5728
306	2532	5716
307	2537	5701
308	2544	5691
309	2550	5676
310	2556	5663
311	2561	5649
312	2566	5633
313	2572	5621
314	2576	5603
315	2581	5588
316	2586	5573
317	2591	5557
318	2597	5544
319	2604	5534
320	2609	5519
321	2614	5505
322	2621	5494
323	2626	5479
324	2631	5465
325	2636	5451
326	2641	5437
327	2650	5429
328	2655	5416
329	2660	5402
330	2667	5390
331	2672	5376
332	2677	5363
333	2684	5353
334	2689	5338
335	2694	5324
336	2699	5311
337	2704	5297
338	2714	5293
339	2723	5286
340	2730	5276
341	2740	5272
342	2746	5260
343	2753	5251
344	2758	5237
345	2763	5223
346	2770	5213
347	2774	5198
348	2780	5186
349	2786	5174
350	2790	5159
351	2796	5147
352	2800	5133
353	2805	5118
354	2810	5107
355	2816	5094
356	2822	5083
357	2828	5073
358	2834	5060
359	2840	5050
360	2846	5038
361	2851	5025
362	2859	5017
363	2863	5003
364	2868	4990
365	2876	4982
366	2882	4971
367	2889	4962
368	2895	4950
369	2898	4935
370	2905	4925
371	2910	4913
372	2916	4902
373	2922	4891
374	2928	4880
375	2936	4873
376	2942	4862
377	2947	4850
378	2953	4839
379	2958	4827
380	2963	4815
381	2971	4807
382	2977	4797
383	2983	4786
384	2988	4774
385	2993	4762
386	2999	4751
387	3004	4739
388	3009	4727
389	3017	4719
390	3022	4707
391	3026	4694
392	3032	4683
393	3037	4672
394	3042	4659
395	3047	4648
396	3052	4636
397	3057	4623
398	3063	4614
399	3069	4603
400	3074	4592
401	3080	4583
402	3085	4571
403	3090	4559
404	3097	4550
405	3102	4539
406	3111	4533
407	3116	4522
408	3121	4511
409	3128	4501
410	3133	4490
411	3139	4480
412	3145	4470
413	3150	4458
414	3155	4448
415	3160	4437
416	3166	4426
417	3171	4415
418	3176	4405
419	3181	4394
420	3186	4382
421	3192	4372
422	3197	4361
423	3203	4351
424	3208	4341
425	3214	4331
426	3221	4323
427	3227	4313
428	3232	4302
429	3238	4292
430	3243	4282
431	3248	4271
432	3253	4260
433	3260	4251
434	3267	4244
435	3273	4234
436	3278	4224
437	3284	4214
438	3290	4204
439	3297	4196
440	3302	4186
441	3308	4176
442	3314	4167
443	3320	4158
444	3325	4147
445	3331	4138
446	3337	4128
447	3342	4117
448	3348	4109
449	3353	4098
450	3357	4087
451	3364	4079
452	3370	4069
453	3375	4059
454	3381	4050
455	3386	4039
456	3390	4028
457	3396	4019
458	3402	4010
459	3407	4000
460	3412	3990
461	3417	3979
462	3421	3968
463	3427	3959
464	3432	3948
465	3437	3939
466	3443	3929
467	3448	3919
468	3453	3909
469	3459	3901
470	3464	3891
471	3470	3882
472	3476	3873
473	3481	3863
474	3488	3855
475	3494	3846
476	3500	3837
477	3506	3829
478	3513	3821
479	3519	3812
480	3524	3802
481	3529	3793
482	3534	3783
483	3539	3773
484	3543	3763
485	3548	3753
486	3554	3743
487	3559	3735
488	3563	3724
489	3569	3714
490	3575	3706
491	3580	3696
492	3586	3688
493	3592	3679
494	3598	3671
495	3604	3662
496	3609	3652
497	3614	3643
498	3619	3634
499	3624	3624
500	3630	3615
501	3636	3607
502	3641	3598
503	3648	3590
504	3653	3581
505	3657	3570
506	3664	3563
507	3669	3553
508	3673	3543
509	3680	3536
510	3685	3527
511	3693	3520
512	3700	3512
513	3705	3504
514	3713	3496
515	3720	3489
516	3728	3483
517	3733	3473
518	3737	3463
519	3743	3455
520	3747	3445
521	3752	3436
522	3758	3427
523	3762	3418
524	3768	3409
525	3773	3400
526	3778	3391
527	3783	3382
528	3790	3374
529	3794	3364
530	3800	3356
531	3806	3348
532	3810	3338
533	3815	3329
534	3821	3321
535	3826	3312
536	3831	3303
537	3837	3295
538	3842	3286
539	3847	3277
540	3854	3270
541	3860	3262
542	3865	3253
543	3871	3245
544	3876	3236
545	3883	3228
546	3891	3222
547	3899	3216
548	3906	3208
549	3917	3204
550	3921	3195
551	3926	3187
552	3932	3178
553	3937	3170
554	3942	3161
555	3948	3153
556	3953	3144
557	3958	3135
558	3965	3128
559	3970	3119
560	3974	3110
561	3981	3102
562	3986	3094
563	3991	3085
564	3997	3078
565	4002	3068
566	4006	3059
567	4012	3051
568	4017	3042
569	4021	3033
570	4028	3026
571	4033	3018
572	4038	3009
573	4044	3001
574	4049	2993
575	4055	2985
576	4061	2977
577	4066	2969
578	4070	2959
579	4075	2951
580	4081	2943
581	4086	2935
582	4093	2928
583	4100	2920
584	4106	2913
585	4112	2905
586	4122	2900
587	4128	2892
588	4134	2884
589	4139	2876
590	4145	2869
591	4151	2860
592	4156	2852
593	4161	2844
594	4166	2835
595	4172	2828
596	4177	2819
597	4182	2811
598	4188	2803
599	4193	2795
600	4198	2787
601	4206	2781
602	4211	2772
603	4217	2765
604	4223	2757
605	4228	2749
606	4235	2742
607	4239	2733
608	4244	2725
609	4252	2718
610	4257	2710
611	4264	2703
612	4269	2695
613	4274	2687
614	4282	2680
615	4287	2672
616	4294	2665
617	4300	2658
618	4305	2650
619	4312	2643
620	4317	2635
621	4322	2626
622	4328	2619
623	4333	2611
624	4339	2603
625	4345	2596
626	4350	2587
627	4354	2579
628	4360	2571
629	4365	2563
630	4370	2555
631	4376	2548
632	4381	2540
633	4386	2532
634	4391	2524
635	4396	2516
636	4401	2508
637	4407	2500
638	4412	2492
639	4417	2484
640	4423	2477
641	4428	2469
642	4433	2461
643	4438	2453
644	4443	2445
645	4448	2437
646	4454	2430
647	4460	2423
648	4466	2415
649	4472	2408
650	4477	2400
651	4483	2392
652	4489	2385
653	4494	2378
654	4500	2370
655	4506	2363
656	4512	2355
657	4520	2349
658	4525	2341
659	4530	2334
660	4537	2327
661	4543	2319
662	4551	2313
663	4556	2305
664	4561	2297
665	4566	2290
666	4571	2282
667	4576	2274
668	4582	2267
669	4587	2259
670	4592	2251
671	4598	2244
672	4603	2236
673	4608	2229
674	4613	2221
675	4618	2213
676	4622	2205
677	4628	2198
678	4633	2190
679	4638	2182
680	4644	2175
681	4649	2167
682	4654	2160
683	4660	2152
684	4665	2145
685	4674	2139
686	4681	2132
687	4686	2125
688	4694	2118
689	4701	2112
690	4707	2105
691	4713	2097
692	4719	2090
693	4727	2084
694	4731	2076
695	4738	2069
696	4746	2063
697	4755	2057
698	4761	2050
699	4766	2042
700	4772	2035
701	4777	2028
702	4782	2020
703	4788	2013
704	4793	2005
705	4797	1998
706	4803	1990
707	4808	1983
708	4813	1975
709	4818	1968
710	4823	1960
711	4829	1953
712	4835	1946
713	4840	1938
714	4846	1931
715	4852	1924
716	4859	1917
717	4866	1911
718	4871	1904
719	4877	1896
720	4882	1889
721	4887	1881
722	4893	1874
723	4898	1867
724	4906	1861
725	4915	1855
726	4921	1848
727	4927	1841
728	4932	1833
729	4937	1826
730	4943	1819
731	4949	1811
732	4953	1804
733	4959	1797
734	4966	1790
735	4971	1783
736	4976	1775
737	4981	1768
738	4987	1761
739	4992	1754
740	4997	1746
741	5002	1739
742	5008	1732
743	5012	1724
744	5018	1717
745	5023	1710
746	5028	1703
747	5033	1695
748	5039	1688
749	5044	1681
750	5048	1673
751	5055	1667
752	5062	1660
753	5070	1654
754	5076	1647
755	5085	1641
756	5092	1634
757	5103	1629
758	5109	1622
759	5114	1615
760	5120	1608
761	5125	1600
762	5131	1594
763	5137	1586
764	5142	1579
765	5149	1573
766	5155	1566
767	5160	1558
768	5167	1552
769	5173	1545
770	5179	1538
771	5184	1531
772	5190	1524
773	5195	1517
774	5201	1510
775	5206	1503
776	5213	1496
777	5218	1489
778	5223	1481
779	5228	1474
780	5233	1467
